id,name,id,niche-url,walkscore-url,compass-url,streeteasy-url,streetadvisor-url,cityreality-url,images
10,Harlem,6b16a71a-ae81-40c3-938e-95ed05c3b468,https://www.niche.com/places-to-live/n/harlem-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Central_Harlem,https://www.compass.com/neighborhood-guides/nyc/harlem/,https://streeteasy.com/neighborhoods/harlem/,https://www.streetadvisor.com/harlem-manhattan-new-york-city-new-york,https://www.cityrealty.com/nyc/harlem,https://images.ctfassets.net/ypfe9l9zihcg/1CamXmfYrewK4cIAQugyC4/f8220b03eef4a29fd23f8c3d6b7f4d92/harlem_around_the_block_youll_fall_in_love_with_2.jpg
11,Hell's Kitchen,2bf43857-7ce6-4788-91f1-e497d4d47f7e,https://www.niche.com/places-to-live/n/hells-kitchen-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Hell%27s_Kitchen,https://www.compass.com/neighborhood-guides/nyc/hells-kitchen/,,https://www.streetadvisor.com/clinton-hells-kitchen-manhattan-new-york-city-new-york,https://www.cityrealty.com/nyc/midtown-west,"https://images.ctfassets.net/ypfe9l9zihcg/2IpD8eDn8IYSwiK2u0oMUe/c22f6276c104d4de47ff8b1a8561e464/hells_kitchen_hells_kitchen_hero.jpg, https://images.ctfassets.net/ypfe9l9zihcg/2lFkvmIYzW4sicE4aKYeMU/d047a895c27d4a2efe58845e5c39f284/hells_kitchen_around_the_block_the_lifestyle_1.jpg"
12,Inwood,8488016d-737e-4d48-aaa2-9fe9202ac645,https://www.niche.com/places-to-live/n/inwood-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Inwood,,https://streeteasy.com/neighborhoods/inwood/,https://www.streetadvisor.com/inwood-manhattan-new-york-city-new-york,https://www.cityrealty.com/nyc/inwood,https://cdn-img-feed.streeteasy.com/nyc/image/_19/1581019219-0_4200_84_2716_two_inwood-nyc-street-scene-tam51.jpg
13,Kips Bay,d0c071aa-695c-444c-bcde-02c5b4d5d8e5,https://www.niche.com/places-to-live/n/kips-bay-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Kips_Bay,https://www.compass.com/neighborhood-guides/nyc/murray-hill/,https://streeteasy.com/neighborhoods/murray-hill/,https://www.streetadvisor.com/kips-bay-manhattan-new-york-city-new-york,,https://static01.nyt.com/images/2017/10/15/realestate/15LIVING-KIPSBAY-slide-FSJO/15LIVING-KIPSBAY-slide-FSJO-articleLarge.jpg?quality=75&auto=webp&disable=upscale
14,Little Italy,1e6b6ab4-1ce7-4881-adf6-73ad4bc0e3b4,https://www.niche.com/places-to-live/n/little-italy-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Little_Italy,https://www.compass.com/neighborhood-guides/nyc/little-italy/,,https://www.streetadvisor.com/little-italy-manhattan-new-york-city-new-york,https://www.cityrealty.com/nyc/nolita-little-italy,"https://images.ctfassets.net/ypfe9l9zihcg/cfPt8lqAyOKKs0g4k8oIo/9e629e4c355d1d8b6e4202425a1be270/little_italy_little_italy_hero.jpg, https://images.ctfassets.net/ypfe9l9zihcg/6x74IRsFNKMOMc2UAiu86u/a098f08465185624822359822f6cf828/little_italy_around_the_block_the_lifestyle_2.jpg"
15,Lower East Side,cca4d4d0-2715-421a-a9a4-f8139c323b19,https://www.niche.com/places-to-live/n/lower-east-side-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Lower_East_Side,https://www.compass.com/neighborhood-guides/nyc/lower-east-side/,https://streeteasy.com/neighborhoods/lower-east-side/,https://www.streetadvisor.com/lower-east-side-manhattan-new-york-city-new-york,https://www.cityrealty.com/nyc/lower-east-side,"https://images.ctfassets.net/ypfe9l9zihcg/2gZZGU3boY2sE860U4ICYy/56d6ace7a242d3189c7c414cb7f7269c/lower_east_side_around_the_block_what_not_to_expect_2b.jpg, https://images.ctfassets.net/ypfe9l9zihcg/2cyIamhrI0qoiKYKyKSgKc/3a3fef47493d3a745c4ab87a04c8467e/lower_east_side_around_the_block_youll_fall_in_love_with_1.jpg"
16,Marble Hill,e3503a17-96d5-44aa-a2f1-b61c56b83dd7,https://www.niche.com/places-to-live/n/marble-hill-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Marble_Hill,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Marble_Hill%2C_Manhattan.jpg/1200px-Marble_Hill%2C_Manhattan.jpg
17,Midtown,1cec43e3-dcb9-433c-8fc7-39ef2bf51f8c,https://www.niche.com/places-to-live/n/midtown-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Midtown_East,https://www.compass.com/neighborhood-guides/nyc/midtown-east/,https://streeteasy.com/neighborhoods/midtown/,https://www.streetadvisor.com/midtown-manhattan-new-york-city-new-york,https://www.cityrealty.com/nyc/midtown-east,"https://images.ctfassets.net/ypfe9l9zihcg/pt5YfCSMa4Sk8A8ekgOEs/82aa79b79ea9907fca2bfadeeaf63051/midtown-east_the-market_1.jpg, https://images.ctfassets.net/ypfe9l9zihcg/R7gOVctNCeumms40UOqsE/92a85a2d4e65c83f78f165331e4bd6fb/midtown-east_what-to-expect_1.jpg"
18,Morningside Heights,970d8343-408b-422c-9258-1061df31dda3,https://www.niche.com/places-to-live/n/morningside-heights-new-york-city-ny/,https://www.walkscore.com/NY/New_York/West_Harlem,,https://streeteasy.com/neighborhoods/morningside-heights/,https://www.streetadvisor.com/morningside-heights-manhattan-new-york-city-new-york,https://www.cityrealty.com/nyc/morningside-heights,"https://wp-tid.zillowstatic.com/streeteasy/4/Morningside_Heights_Riverside_Park_Dogs-2814e0.jpg, https://wp-tid.zillowstatic.com/streeteasy/4/Morningside_Heights_broadway-cfe307.jpg"
19,Murray Hill,ef314d7c-81c2-41af-810f-7eba208ce86f,https://www.niche.com/places-to-live/n/murray-hill-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Murray_Hill,https://www.compass.com/neighborhood-guides/nyc/murray-hill/,,https://www.streetadvisor.com/murray-hill-manhattan-new-york-city-new-york,https://www.cityrealty.com/nyc/murray-hill,"https://images.ctfassets.net/ypfe9l9zihcg/52IkgISd2MuM62C0gQsCu4/57ed3e2e44ffca93c39691bcf8fc8bd5/8675917028_605afd6c54_o-1403X561.jpg, https://images.ctfassets.net/ypfe9l9zihcg/4QhtFvNza00qIUkqe442IY/27e42ed821fd67babad9bcb4022f97f2/murray_hill_around_the_block_the_lifestyle_4.jpg"
